,title,time,Author,link
46,Re: [[問]] 碩士和教育學程, 8/12,potatogirl,https://ptt.cc/bbs/studyteacher/M.1660297545.A.DD4.html
47,Re: [[問]] 碩士和教育學程, 8/15,cutsadh,https://ptt.cc/bbs/studyteacher/M.1660554707.A.7E2.html
48,[國中] 特教生陪讀, 8/15,Verna6123,https://ptt.cc/bbs/studyteacher/M.1660567577.A.7E4.html
49,[國小] 代理甄試推薦書籍?, 8/16,koushan,https://ptt.cc/bbs/studyteacher/M.1660605691.A.38F.html
50,[國中] 誠徵台南國文教甄讀書會夥伴, 8/16,smileyingsky,https://ptt.cc/bbs/studyteacher/M.1660654369.A.548.html
51,[國中] 連署：代理教師應納入教師法保障, 8/17,mdking,https://ptt.cc/bbs/studyteacher/M.1660741954.A.925.html
52,[心得] 111竹科實小+雙北上榜分享, 8/18,dia1004,https://ptt.cc/bbs/studyteacher/M.1660769999.A.118.html
53,[高中] 高雄高中國文讀書會, 8/18,ccyyb,https://ptt.cc/bbs/studyteacher/M.1660788470.A.F1C.html
54,[高中] 高雄高中公民讀書會, 8/18,JennyFang,https://ptt.cc/bbs/studyteacher/M.1660797891.A.7E2.html
55,[高中] 111玉里高中正式教師甄選, 8/18,nari900916,https://ptt.cc/bbs/studyteacher/M.1660800022.A.67B.html
56,[[問]] 有關私校教師的產假天數?, 8/18,Coxxoc,https://ptt.cc/bbs/studyteacher/M.1660834653.A.79D.html
57,Re: [新聞] 女老師簽「母狗守則」 控家長性侵鹹, 8/20,emusic6,https://ptt.cc/bbs/studyteacher/M.1660937587.A.3D5.html
58,[敘薪] 111學年版代理教師敘薪訴願書, 8/21,nari900916,https://ptt.cc/bbs/studyteacher/M.1661073787.A.5E4.html
59,[心得] 111高中英文上榜心得, 8/22,onizuca520,https://ptt.cc/bbs/studyteacher/M.1661144050.A.A58.html
60,[高中] 徵 112 全民國防讀書會, 8/23,allenh,https://ptt.cc/bbs/studyteacher/M.1661257475.A.DFB.html
61,[國小] 沒有服務優良證明對代理後續的影響？, 8/24,oo777oo,https://ptt.cc/bbs/studyteacher/M.1661342664.A.64A.html
62,[高中] 111吉隆坡台灣學校教師甄試（英文、物理, 8/24,welcome451,https://ptt.cc/bbs/studyteacher/M.1661354548.A.777.html
63,[心得] 上岸之後的人生, 8/27,nizaer,https://ptt.cc/bbs/studyteacher/M.1661582554.A.582.html
64,[心得] 111高中國文上榜經驗分享, 8/27,diony7,https://ptt.cc/bbs/studyteacher/M.1661587212.A.27F.html
65,[心得] R: 上岸之後的人生, 8/28,annuuslin,https://ptt.cc/bbs/studyteacher/M.1661655393.A.938.html
66,Re: [問卷] 各縣市代理教師敘薪負責單位, 8/04,nari900916,https://ptt.cc/bbs/studyteacher/M.1659594237.A.5B6.html
67,Re: [新聞] 監察院就代理教師問題通過糾正教育部, 8/04,nari900916,https://ptt.cc/bbs/studyteacher/M.1659594364.A.C13.html
68,[國小] 班上有特殊生大便無法自理?, 8/04,jingo,https://ptt.cc/bbs/studyteacher/M.1659605895.A.097.html
69,[高中] 112高中國文讀書會（雙北）, 8/05,cendy40524,https://ptt.cc/bbs/studyteacher/M.1659682995.A.5D3.html
70,[國中] 112理化教甄 徵讀書會, 8/05,amendamylove,https://ptt.cc/bbs/studyteacher/M.1659683380.A.4D1.html
71,[國小] 想請教台中太平的國小, 8/05,gm58901138,https://ptt.cc/bbs/studyteacher/M.1659693851.A.E79.html
72,Re: [國小] 班上有特殊生大便無法自理?, 8/06,fan19910509,https://ptt.cc/bbs/studyteacher/M.1659746734.A.A5D.html
